Tag_Number,Release_Da,Latitude_bad,Longitude_bad,Species_Na,Length,Weight,Latitude_F,Longitude_
S88706,8/17/03,33.45S,151.23E,MAKO SHARK,80,12,-33.75,151.4166667
A582112,2/7/15,33.12S,151.49E,DOLPHINFISH,80,3,-33.16666667,151.8333333
B011105,4/6/08,33.34S,151.56E,BLUE MARLIN,0,125,-33.58333333,151.9166667
B016293,3/18/07,33.33S,151.52E,BLUE MARLIN,201,80,-33.58333333,151.8333333
S238541,8/27/11,33.32S,151.51E,MAKO SHARK,0,50,-33.5,151.8333333
B125706,4/15/17,33.40S,151.49E,STRIPED MARLIN,225,75,-33.66666667,151.8333333
A622762,1/17/21,33.37S,151.33E,DOLPHINFISH,68,3,-33.58333333,151.5833333
A341134,1/20/00,33.53S,151.29E,STRIPED MARLIN,200,80,-33.91666667,151.5
B028629,2/28/09,33.56S,151.28E,STRIPED MARLIN,200,70,-33.91666667,151.5
S166858,9/30/01,33.53S,151.28E,YELLOWFIN TUNA,0,11,-33.91666667,151.5
D000029,4/3/04,33.57S,151.23E,DOLPHINFISH,53,0.8,-33.91666667,151.4166667
A405579,4/1/01,33.46S,151.25E,DOLPHINFISH,47,0,-33.75,151.4166667
D013018,12/31/13,34.41S,151.02E,DOLPHINFISH,40,1.5,-34.66666667,151
S142505,1/21/00,33.41S,151.19E,WHALER SHARK,100,0,-33.66666667,151.3333333
S205138,3/19/05,33.14S,151.42E,DOLPHINFISH,0,1,-33.25,151.6666667
B123594,1/29/17,33.29S,151.36E,BLACK MARLIN,0,18,-33.5,151.5833333
B086134,2/1/15,33.38S,151.35E,BLACK MARLIN,0,25,-33.66666667,151.5833333
S176707,3/18/01,33.37S,151.40E,STRIPED MARLIN,0,50,-33.58333333,151.6666667
S188053,1/1/04,34.26S,151.08E,STRIPED MARLIN,0,70,-34.41666667,151.1666667
B072353,2/10/16,34.25S,150.59E,BLACK MARLIN,160,40,-34.41666667,151
A439278,4/14/06,34.27S,151.04E,DOLPHINFISH,75,1,-34.41666667,151.0833333
A463367,2/9/08,34.32S,150.53E,HAMMERHEAD SHARK,130,10,-34.5,150.9166667
S194984,4/24/05,34.32S,150.53E,MAKO SHARK,0,30,-34.5,150.9166667
D008973,2/11/12,34.34S,151.01E,DOLPHINFISH,55,1.5,-34.58333333,151
S160857,4/20/02,34.20S,151.48E,YELLOWFIN TUNA,0,6,-34.33333333,151.8333333
A360570,4/30/06,34.19S,151.33E,DOLPHINFISH,0,2,-34.33333333,151.5833333
A571634,3/29/15,34.39S,151.30E,DOLPHINFISH,75,2.5,-34.66666667,151.5
A404358,9/25/05,34.47S,151.10E,YELLOWFIN TUNA,80,8,-34.75,151.1666667
D005071,2/10/08,34.42S,151.07E,DOLPHINFISH,60,1,-34.66666667,151.0833333
A565808,10/3/19,34.40S,151.09E,YELLOWFIN TUNA,110,35,-34.66666667,151.1666667
A595385,3/26/23,33.59S,151.26E,DOLPHINFISH,60,0,-34,151.4166667
B004945,3/22/07,34.00S,151.25E,BLACK MARLIN,0,40,-34,151.4166667
A454886,11/6/05,34.02S,151.32E,YELLOWFIN TUNA,0,12,-34,151.5
B029322,4/12/09,34.00S,151.35E,STRIPED MARLIN,0,75,-34,151.5833333
B047448,4/10/11,34.01S,151.35E,STRIPED MARLIN,210,60,-34,151.5833333
S186426,11/8/08,34.00S,151.36E,HAMMERHEAD SHARK,300,250,-34,151.5833333
B047214,2/26/11,34.22S,151.20E,STRIPED MARLIN,220,70,-34.33333333,151.3333333
S205207,9/19/10,34.13S,151.27E,MAKO SHARK,150,40,-34.25,151.4166667
A463269,4/10/10,34.12S,151.24E,DOLPHINFISH,65,1,-34.16666667,151.4166667
S233895,1/24/09,34.11S,151.24E,DOLPHINFISH,40,1,-34.16666667,151.4166667
A460477,1/29/06,34.06S,151.24E,DOLPHINFISH,40,0,-34.08333333,151.4166667
A550269,5/17/14,34.06S,151.24E,DOLPHINFISH,85,4,-34.08333333,151.4166667
B102615,3/2/14,33.07S,152.25E,BLUE MARLIN,190,85,-33.08333333,152.4166667
B109487,1/1/16,33.04S,152.23E,STRIPED MARLIN,0,90,-33.08333333,152.4166667
B122503,3/25/16,33.06S,152.26E,STRIPED MARLIN,230,80,-33.08333333,152.4166667
B080060,2/13/14,33.04S,152.34E,BLACK MARLIN,0,85,-33.08333333,152.5833333
S176645,11/4/00,33.05S,151.38E,HAMMERHEAD SHARK,40,1,-33.08333333,151.6666667
B082008,1/26/16,33.05S,151.46E,STRIPED MARLIN,200,30,-33.08333333,151.75
S192128,2/2/02,33.05S,151.51E,STRIPED MARLIN,160,50,-33.08333333,151.8333333
