Tag_Number,Release_Da,Latitude,Longitude,Species_Na,Length,Weight,Latitude_F,Longitude_
B108333,1/15/17,21.31S,114.25,BLACK MARLIN,190.0,60.0,-21.5,114.25000000000011
B163886,12/19/19,27.55S,153.83333333,BLACK MARLIN,90.0,90.0,-27.91666667,153.83333333300004
B154238,10/30/16,24.25S,153.25,BLUE MARLIN,0.0,120.0,-24.41666667,153.2500000000001
A601210,1/11/17,26.24S,153.66666667,DOLPHINFISH,0.0,4.0,-26.41666667,153.66666666700007
B098141,11/28/13,26.35S,153.41666667,BLACK MARLIN,120.0,15.0,-26.58333333,153.41666666700007
A536385,3/29/13,04.48S,146.16666667,WAHOO,110.0,8.0,-4.83333333,146.16666666700007
A545788,5/6/18,43.38S,146.91666667,SOUTHERN BLUEFIN TUNA,80.0,20.0,-43.66666667,146.91666666700007
A586066,3/5/16,43.12S,147.66666667,SOUTHERN BLUEFIN TUNA,105.0,20.0,-43.16666667,147.66666666700007
A570575,3/29/14,43.16S,148.25,SOUTHERN BLUEFIN TUNA,80.0,8.0,-43.25,148.2500000000001
B097661,3/21/14,21.45S,113.83333333,BLUE MARLIN,232.0,90.0,-21.75,113.83333333300004
B129102,11/27/18,21.41S,114.08333333,SAILFISH,150.0,35.0,-21.66666667,114.08333333300004
A149115,3/26/00,36.29S,150.25,STRIPED MARLIN,280.0,90.0,-36.5,150.2500000000001
A329516,1/5/05,36.29S,150.25,ALBACORE,90.0,10.0,-36.5,150.2500000000001
S175877,2/7/00,36.29S,150.25,STRIPED MARLIN,0.0,95.0,-36.5,150.2500000000001
S170885,3/4/02,36.25S,150.33333333,STRIPED MARLIN,0.0,75.0,-36.41666667,150.33333333300004
A441928,10/22/04,36.25S,150.25,ALBACORE,60.0,3.5,-36.41666667,150.2500000000001
A335045,1/25/08,36.25S,150.16666667,DOLPHINFISH,0.0,0.5,-36.41666667,150.16666666700007
S214841,10/11/06,15.52S,145.75,BLACK MARLIN,0.0,190.51,-15.83333333,145.7500000000001
A397708,4/16/05,35.18S,135.58333333,SOUTHERN BLUEFIN TUNA,78.0,10.0,-35.33333333,135.58333333300004
C531138,5/1/06,35.17S,136.08333333,SOUTHERN BLUEFIN TUNA,0.0,15.0,-35.25,136.08333333300004
S227587,2/22/09,35.46S,137.83333333,WHALER SHARK,150.0,18.0,-35.75,137.83333333300004
S184239,9/9/04,19.04S,147.41666667,BLACK MARLIN,110.0,22.0,-19.08333333,147.41666666700007
S178711,1/13/03,30.53S,153.08333333,STRIPED MARLIN,0.0,80.0,-30.91666667,153.08333333300004
S187344,2/19/04,30.53S,153.08333333,BLACK MARLIN,0.0,55.0,-30.91666667,153.08333333300004
A405279,2/25/02,32.33S,152.41666667,DOLPHINFISH,50.0,0.0,-32.58333333,152.41666666700007
A388119,8/19/01,30.18S,153.41666667,YELLOWFIN TUNA,70.0,12.0,-30.33333333,153.41666666700007
S144667,9/20/03,30.18S,153.41666667,STRIPED MARLIN,185.0,75.0,-30.33333333,153.41666666700007
A381769,1/11/03,31.26S,153.08333333,BLACK MARLIN,165.0,45.0,-31.41666667,153.08333333300004
S218385,2/26/06,32.08S,152.75,STRIPED MARLIN,175.0,50.0,-32.16666667,152.7500000000001
