OBJECTID,Tag_Number,Release_Date,Latitude,Longitude,Species_Name,Length,Weight,Latitude_FiveNM,Longitude_FiveNM,Moon_Phase,Wind_Direction_10m,Rain_mm,Is_Raining,Sea_Surface_Temp_C
61,A113014,1112486400000,-34.66666666611688,151.08333333300004,DOLPHINFISH,0.0,0.0,-34.66666667,151.08333333,0.8053548530151152,15.0,0.0,False,
62,A113015,1112486400000,-34.66666666611688,151.08333333300004,DOLPHINFISH,0.0,0.0,-34.66666667,151.08333333,0.8053548530151152,15.0,0.0,False,
63,A113016,1112400000000,-34.66666666611688,151.08333333300004,DOLPHINFISH,0.0,0.0,-34.66666667,151.08333333,0.7714916608121134,16.0,0.0,False,
64,A113176,1042675200000,-31.333333332161377,153.0000000000001,DOLPHINFISH,50.0,1.0,-31.33333333,153.0,0.443895552989587,72.0,0.0,False,
65,A113177,1042675200000,-31.333333332161377,153.0000000000001,DOLPHINFISH,50.0,1.0,-31.33333333,153.0,0.443895552989587,72.0,0.0,False,
66,A113178,1042675200000,-31.333333332161377,153.0000000000001,DOLPHINFISH,50.0,1.0,-31.33333333,153.0,0.443895552989587,72.0,0.0,False,
67,A11317816,1042675200000,-31.333333332161377,153.0000000000001,DOLPHINFISH,50.0,1.0,-31.33333333,153.0,0.443895552989587,72.0,0.0,False,
68,A113179,1042675200000,-31.333333332161377,153.0000000000001,DOLPHINFISH,50.0,0.5,-31.33333333,153.0,0.443895552989587,72.0,0.0,False,
69,A113584,983059200000,-32.833333332139944,152.66666666700007,DOLPHINFISH,,1.0,-32.83333333,152.66666667,0.0782929329182858,29.0,0.0,False,
70,A113585,982972800000,-32.833333332139944,152.66666666700007,DOLPHINFISH,,1.0,-32.83333333,152.66666667,0.0444297407152839,34.0,0.0,False,
71,A113586,983318400000,-32.833333332139944,152.66666666700007,DOLPHINFISH,,1.0,-32.83333333,152.66666667,0.1798825095272915,14.0,0.1,True,
72,A113587,983318400000,-32.833333332139944,152.66666666700007,DOLPHINFISH,,1.0,-32.83333333,152.66666667,0.1798825095272915,14.0,0.1,True,
73,A113588,982972800000,-32.833333332139944,152.66666666700007,DOLPHINFISH,,1.0,-32.83333333,152.66666667,0.0444297407152839,34.0,0.0,False,
74,A113716,987379200000,-36.416666666098294,150.41666666700007,SHORTBILL SPEARFISH,160.0,25.0,-36.41666667,150.41666667,0.7714525430683804,80.0,0.0,False,
75,A113720,1016582400000,-36.49999999909748,150.2500000000001,STRIPED MARLIN,0.0,70.0,-36.5,150.25,0.2172115076830197,112.0,0.0,False,
76,A113928,1145923200000,-36.08333333210161,150.41666666700007,YELLOWFIN TUNA,0.0,16.0,-36.08333333,150.41666667,0.910410235576855,182.0,0.0,False,
77,A113929,1145923200000,-36.08333333210161,150.41666666700007,YELLOWFIN TUNA,70.0,4.5,-36.08333333,150.41666667,0.910410235576855,182.0,0.0,False,
84,A116362,1104796800000,-26.916666666237717,153.5000000000001,YELLOWFIN TUNA,60.0,3.0,-26.91666667,153.5,0.7915307469479469,10.0,0.0,False,
85,A116605,969753600000,-30.33333333217695,153.2500000000001,YELLOWFIN TUNA,,20.0,-30.33333333,153.25,0.8633613336559945,98.0,0.0,False,
86,A116642,1001289600000,-30.33333333217695,153.41666666700007,YELLOWFIN TUNA,,12.0,-30.33333333,153.41666667,0.2234264877516849,13.0,0.0,False,
87,A116643,1001289600000,-30.33333333217695,153.41666666700007,YELLOWFIN TUNA,,5.0,-30.33333333,153.41666667,0.2234264877516849,13.0,0.0,False,
